path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
4.0384617,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
4.6906095,m,m,a,m,m,m,b,m,b,b,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,a,m,m,0
3.4088976,a,b,a,b,b,b,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,a,m,b,m,b,a,a,a,0
3.5313885,a,b,a,b,m,m,b,m,b,b,m,b,m,m,b,b,b,m,b,b,b,b,m,b,a,b,m,b,m,0
3.0224946,m,m,a,b,m,m,b,m,b,m,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,m,m,m,0
2.616921,m,m,a,b,m,m,b,m,b,m,m,b,m,m,b,b,b,m,b,b,b,b,m,b,a,b,m,b,m,0
5.0464277,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,m,a,m,0
3.7793386,a,b,a,b,b,m,b,a,b,b,m,m,a,a,b,b,a,m,b,b,b,m,m,b,a,b,a,a,a,0
3.8163786,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,m,a,a,0
1.443286,m,m,b,b,m,m,m,a,b,m,m,m,m,a,m,b,b,a,b,b,b,m,m,b,b,b,m,m,a,0
5.024534,a,b,a,b,m,b,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
3.4877295,m,m,a,m,m,m,b,m,b,m,m,b,a,m,b,b,b,m,b,b,b,b,m,b,a,b,m,b,m,0
3.9338794,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,a,0
3.88698,a,b,a,b,m,m,b,m,b,b,b,b,b,m,b,m,a,m,b,b,b,b,m,b,a,b,m,a,m,0
5.5627437,m,b,a,b,b,b,b,a,b,b,m,b,m,m,b,b,a,a,b,b,b,m,m,b,a,b,m,m,b,0
3.8144238,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,m,b,b,m,m,b,m,b,a,a,m,0
5.3074236,a,m,a,b,m,m,b,m,b,b,m,b,m,m,b,b,b,m,b,b,b,b,m,b,b,b,m,m,m,0
4.967832,a,b,a,b,m,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,a,a,m,0
4.79108,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,m,b,b,b,m,m,b,a,b,a,a,m,0
5.6950374,a,b,a,b,m,m,b,a,b,b,m,b,a,m,b,b,a,a,b,b,b,m,m,b,a,b,a,m,m,0
3.3500018,a,m,a,b,m,m,b,m,b,m,m,b,b,m,b,b,b,m,b,b,b,b,m,b,a,b,m,m,b,0
4.5693946,a,b,a,b,b,m,b,a,b,b,m,b,a,a,b,b,a,a,b,b,b,m,m,b,a,b,m,a,m,0
1.2625632,m,b,m,b,m,b,b,m,m,b,m,b,m,m,b,b,b,b,b,b,b,m,m,b,a,m,a,b,m,0
4.7131033,a,b,a,b,b,b,b,a,b,b,m,b,a,a,b,b,a,m,b,b,b,m,m,b,a,b,a,a,a,0
0.022643343,b,a,b,a,a,a,a,m,a,a,b,a,b,b,a,a,b,m,a,a,a,a,a,a,b,a,b,b,b,1
0.0,b,a,m,a,a,a,a,b,a,a,b,m,b,b,m,a,m,b,a,a,a,a,a,a,b,a,b,m,b,1
0.0,b,m,b,b,b,m,m,m,b,m,m,m,b,m,a,b,m,m,b,b,a,a,m,m,b,m,b,a,m,1
0.041213162,b,a,b,a,a,a,a,b,a,a,b,a,b,b,m,a,m,b,a,a,a,a,a,m,b,a,b,b,b,1
0.49421084,b,m,b,a,a,a,a,m,a,a,m,a,b,m,m,a,m,m,a,m,a,a,a,a,b,a,b,b,m,1
0.0,b,b,b,a,m,m,b,m,b,m,b,m,b,m,a,m,m,m,b,m,m,a,m,b,b,a,m,b,m,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.44516045,b,a,b,a,a,a,a,m,a,a,m,a,b,b,a,a,m,m,a,m,a,a,a,a,b,a,b,b,b,1
0.0896046,b,a,b,a,a,a,a,m,a,a,b,a,b,b,m,a,m,b,a,a,a,a,a,m,b,a,b,b,b,1
0.15290084,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,b,a,a,a,a,m,a,a,b,m,b,b,m,a,m,m,a,a,a,a,a,b,b,a,b,b,b,1
0.01489432,b,a,b,a,a,a,a,m,a,a,b,m,b,b,b,a,m,b,a,a,a,a,a,a,b,a,b,b,b,1
0.067829885,b,a,b,m,a,a,a,b,a,a,b,a,b,b,a,a,m,b,a,a,a,a,a,a,b,b,b,b,b,1
0.048595496,b,a,b,m,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,m,b,a,a,a,a,a,a,b,m,b,b,b,1
0.19402042,b,a,b,a,a,a,a,m,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,a,m,m,a,a,a,b,a,a,b,m,b,b,a,m,m,b,a,a,a,a,m,a,b,m,b,b,b,1
0.26492912,b,m,b,a,m,a,b,m,b,a,b,m,b,m,m,a,m,m,a,a,b,a,m,b,b,a,b,b,m,1
0.0,b,b,m,b,b,m,b,m,b,b,a,b,b,m,m,b,b,m,b,b,b,m,b,m,b,b,b,m,b,1
0.0,m,b,m,b,b,m,b,m,a,b,m,b,b,b,a,b,b,m,b,b,b,m,b,a,b,b,b,a,b,1
0.45877862,b,m,m,a,a,a,m,m,a,a,b,a,b,m,m,a,m,m,a,m,a,a,a,a,b,a,b,b,b,1
0.9343448,b,a,b,b,a,a,a,b,m,a,b,m,b,b,m,b,b,b,b,b,a,a,m,a,b,a,b,b,b,1
0.0,b,m,m,b,b,a,b,m,b,b,m,b,b,m,m,a,b,m,b,b,b,m,b,a,b,b,b,a,b,1
0.24847272,b,m,m,m,b,m,m,m,b,a,m,m,b,m,m,b,b,m,b,b,a,m,b,a,b,b,b,a,b,1
0.011223627,m,m,m,b,m,m,a,m,a,a,m,b,m,m,m,b,b,m,b,b,m,a,b,a,b,b,b,m,m,1
0.0010382788,b,b,b,a,b,m,b,m,b,a,b,b,b,m,a,b,m,m,b,m,b,m,m,b,b,m,m,b,m,1
0.006302269,m,b,a,b,b,m,b,m,b,b,m,b,b,m,a,b,m,m,b,b,m,a,m,b,m,b,b,m,m,1
0.0,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.4308577,b,m,b,b,m,a,m,m,a,a,m,b,m,m,a,a,b,m,a,a,a,m,m,a,b,b,m,a,b,1
0.062629566,b,a,b,m,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,m,b,b,b,1
0.0,b,m,b,b,m,m,m,m,b,m,m,b,b,m,a,b,m,m,b,b,m,m,m,m,b,m,b,a,m,1
0.38610536,b,m,b,a,a,a,m,m,a,a,b,a,b,b,a,a,m,b,a,m,a,a,a,a,b,a,b,b,b,1
0.017845085,b,b,b,m,b,m,b,m,b,m,b,m,b,m,m,m,m,m,b,m,b,m,a,b,b,a,m,m,m,1
0.05466174,m,b,b,b,b,m,b,m,b,b,m,b,b,a,a,b,b,m,b,b,b,m,b,m,b,b,b,m,m,1
0.32131281,b,m,b,b,m,m,b,m,a,m,m,m,b,m,a,a,b,m,a,a,a,m,m,a,b,b,m,a,b,1
0.0,b,a,b,a,a,a,a,b,a,m,b,m,b,b,a,a,b,b,a,a,a,m,a,a,b,m,b,b,b,1
0.028049976,b,a,b,a,a,a,a,m,a,a,b,a,b,b,a,a,b,b,a,a,a,a,a,a,b,a,b,b,b,1
0.24324563,b,b,b,m,b,m,b,b,b,m,b,m,b,m,a,b,m,m,m,b,b,m,m,b,b,m,b,b,m,1
0.005881397,b,a,b,a,a,a,a,m,a,a,b,a,b,b,b,a,m,b,a,a,a,a,a,m,b,a,b,b,b,1
0.0010561262,b,a,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,b,a,a,a,m,a,a,b,m,b,b,b,1
