path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
0.4633221,b,b,m,m,b,b,m,a,b,a,m,b,a,a,m,b,m,m,b,m,b,a,b,b,a,m,m,b,b,0
0.6099605,b,m,a,b,m,m,m,a,b,a,m,b,a,a,a,m,m,m,m,b,b,m,a,a,a,m,b,b,m,0
0.36278012,m,b,a,b,b,b,b,a,b,m,b,b,a,a,a,m,a,a,b,a,b,m,b,b,m,m,m,b,m,0
0.6733684,m,b,a,b,b,b,a,m,b,a,m,b,a,a,m,b,m,a,m,b,b,m,b,m,a,m,m,b,m,0
0.30682215,b,b,m,b,b,m,a,a,b,a,b,b,m,a,m,m,a,m,m,m,b,a,b,a,a,m,m,b,m,0
0.6022031,b,b,a,b,b,m,m,a,b,a,m,m,a,a,a,m,b,m,b,m,b,m,b,a,a,m,b,a,m,0
0.14911252,m,b,b,b,b,b,b,a,b,a,b,b,m,a,a,m,m,b,m,a,b,m,b,b,m,m,m,b,m,0
0.3793467,m,b,a,m,b,m,b,m,m,a,m,b,a,a,m,m,b,b,m,m,b,a,a,b,a,m,b,b,b,0
0.6943125,m,b,a,b,b,m,a,a,b,a,a,b,m,m,m,a,b,b,b,m,b,a,b,b,m,m,b,b,m,0
0.81614476,b,b,a,b,b,m,m,m,b,a,m,b,m,a,a,m,m,m,m,m,b,a,b,a,a,m,m,m,m,0
0.28382316,m,b,a,b,m,b,b,m,b,m,b,b,a,a,m,m,m,b,b,a,b,a,b,b,m,m,m,b,m,0
0.42137897,b,b,a,b,b,m,a,m,b,m,m,b,m,m,m,m,m,a,m,b,b,m,b,b,m,m,b,b,m,0
0.9877159,b,m,b,m,m,b,m,m,b,m,a,b,m,m,a,m,a,b,m,a,b,b,a,a,a,m,b,a,m,0
0.6761066,m,b,a,b,b,b,m,a,b,a,m,b,m,m,m,m,b,b,m,b,a,a,b,b,a,m,m,b,m,0
0.9022712,m,a,b,b,b,b,b,m,b,m,m,b,m,m,m,m,b,m,m,a,b,b,b,b,m,m,b,b,m,0
0.72576445,m,b,a,a,m,m,b,b,b,a,a,b,a,a,a,m,m,m,b,a,b,m,b,a,a,m,b,m,b,0
0.64134365,b,b,m,b,b,m,a,a,b,a,b,b,m,a,m,m,b,b,m,a,b,a,b,b,a,m,a,b,m,0
0.55502063,b,b,m,a,b,b,a,a,b,a,m,b,m,m,a,m,m,a,b,b,b,a,b,m,a,m,m,b,m,0
0.42444623,m,m,m,b,b,m,m,m,b,a,b,b,a,a,a,m,m,a,b,m,b,m,b,a,a,m,m,b,m,0
0.4091649,m,b,a,b,b,a,b,b,b,a,m,b,m,a,m,m,m,m,b,m,b,b,b,b,a,m,m,m,m,0
