path,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,target
-0.19145477,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,m,b,a,b,a,a,a,b,a,m,a,1
-0.14374807,b,b,m,b,m,a,b,b,b,a,a,m,m,b,b,a,b,b,b,m,a,b,m,a,a,m,m,a,m,1
0.30578244,b,b,b,b,b,a,m,m,m,a,a,m,m,m,m,a,m,b,m,b,a,b,m,m,b,b,m,m,a,1
-0.11128648,b,b,m,b,b,b,b,b,b,a,a,m,m,b,b,m,m,b,b,b,m,b,m,b,b,b,b,m,a,1
0.3820051,b,b,b,b,b,a,b,a,b,m,a,a,m,m,b,a,m,b,a,m,m,b,m,a,a,m,m,m,b,1
0.08244056,b,b,b,b,b,a,b,m,b,a,a,a,m,b,a,a,b,b,a,m,a,b,a,m,a,b,a,a,a,1
0.060597513,b,b,b,b,b,b,b,b,b,a,a,m,m,m,b,a,a,b,b,b,m,b,m,b,a,b,m,b,a,1
-0.11872234,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,m,1
-0.19439346,b,b,b,b,b,b,b,a,b,a,a,a,m,m,b,m,b,b,b,b,a,b,a,a,m,m,m,m,a,1
-0.19429609,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,b,1
-0.19389021,m,b,b,b,b,b,m,b,b,a,a,m,m,m,b,m,b,b,b,m,a,b,a,m,b,m,m,b,a,1
-0.15217109,b,b,b,b,b,a,b,a,b,a,a,a,m,b,a,a,b,b,a,b,a,b,a,a,a,b,a,a,a,1
0.2916724,b,b,b,b,b,a,b,m,b,m,a,a,m,b,a,a,b,b,a,m,a,m,a,m,a,b,a,b,a,1
0.2994519,b,b,b,b,b,m,m,b,m,a,a,m,m,b,b,a,b,b,b,b,m,b,m,b,b,b,m,m,a,1
-0.14406511,b,b,b,b,b,b,m,a,b,a,a,a,m,m,b,m,b,b,b,b,a,b,a,a,a,m,m,m,a,1
-0.11520895,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,m,a,a,b,a,a,m,1
-0.17546266,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,m,b,a,b,a,a,a,b,a,a,a,1
0.30868563,b,b,b,b,b,a,b,m,b,a,a,a,m,b,a,a,b,m,a,m,a,b,a,m,a,b,a,a,a,1
-0.20677473,b,b,b,b,b,a,b,a,b,a,a,a,m,b,a,a,b,b,a,m,a,b,a,m,a,b,a,m,a,1
-0.11798191,b,b,b,b,b,a,b,a,b,a,a,a,b,b,a,a,b,b,a,b,a,b,m,a,m,b,a,a,m,1
